"EtatLigTik","Id","IdCaisseTicket","IdClient","IdExecutant","IdGenere","IdSysMenuComment","IdTaux2","IdTauxTVA","InfoMisc","InfoMisc2","InfoMisc3","LibArticle","MontantHT","NbCode","NumArticle","PrixDeBase","PrixPaye","TypeExtend","TypeLigTik","ValeurPoint","GuidCS","IGuid","IdPrestationPack"
"0","983334399","983331416","80","1","1",-1,-1,"1","0","0","","","1700","1","43","1700","1700","0","1","0","2e7ca3e5-1c8e-4b1d-abd3-7653dc9beb2b","3f0bae2f-c4e1-4f1c-9d65-50b5974faba0",-1
"0","983334401","983331416","80","1","1",-1,-1,"1","0","0","","","1700","1","43","1700","1700","0","1","0","0d95f0cf-8a6f-47cb-a9bd-b8820b8bd2bf","4699289e-b0d9-4d37-9d84-f1c1602497d6",-1
"0","984530072","984530054","80","1","1",-1,-1,"1","0","0","","","800","1","14","800","800","0","1","0",cf8bf738-5f9e-443b-b59f-4db188c422e4,cd170aae-6cc0-4dbc-bd31-e5aa1e552aa3,-1
"0","984530073","984530054","80","1","1",-1,-1,"1","0","0","","","2700","1","33","2700","2700","0","1","0","19b23181-7cc3-4253-8e76-55239d779321",d639339b-fbda-48ef-92b2-bfb967573d7e,-1
"0","984530075","984530054","80","1","1",-1,-1,"1","0","0","","","2600","1","27","2600","2600","0","1","0",e11a285a-21d6-4b89-bed1-4c974521c2e7,"839c1a5e-4d09-466f-812f-f879c042181d",-1
"0","984530076","984530054","80","1","1",-1,-1,"1","0","0","","","5500","1","22","5500","5500","0","1","0","4c1f089f-5961-495b-98e8-3827e0a1c916","37e23f23-0432-4789-ac30-abdcf480f064",-1
"0","1000429819","1000429814","80","1","1",-1,-1,"1","0","0","","","5500","1","22","5500","5500","0","1","0","96e05a53-4032-4730-8820-86a308c7397a",babd591f-3208-466c-86eb-6759bd3fe423,-1
"0","1000429821","1000429814","80","1","1",-1,-1,"1","0","0","","","800","1","14","800","800","0","1","0",e52f6a09-3e1d-4fa5-83cc-ef2da6ca7664,"0f6905f8-4ff7-4ebb-bdb8-856d4b10b7a2",-1
"0","1000429822","1000429814","80","1","1",-1,-1,"1","0","0","","","2700","1","33","2700","2700","0","1","0","5c8e7dfc-b335-4009-9a63-588676636cbf",db6528b5-fabc-4925-82dc-6fe948144112,-1
"0","1000429824","1000429814","80","1","1",-1,-1,"1","0","0","","","2600","1","27","2600","2600","0","1","0","4dff99fd-e9fc-4baf-a71c-ce967ec29224","439c457b-fb04-48e5-b7b0-7991d9efb7ff",-1
"0","1031434760","1031434758","80","1","1",-1,-1,"1","0","0","","","5500","1","22","5500","5500","0","1","0","08f84633-9b52-43a2-8e31-078eb4701b86","617c7b7a-bf8b-432d-a4d3-c354dd1a1237",-1
"0","1031434761","1031434758","80","1","1",-1,-1,"1","0","0","","","800","1","14","800","800","0","1","0","732c37a1-712f-422d-9bf6-141c9294cf85",e4401c06-0ca0-467c-9d04-7341fd58a79a,-1
"0","1031434762","1031434758","80","1","1",-1,-1,"1","0","0","","","2700","1","33","2700","2700","0","1","0","2f6b0273-5afb-4ff2-98c8-63cdebaa1a87",e526349e-73b9-4371-a351-09ed2e861539,-1
"0","1031434763","1031434758","80","1","1",-1,-1,"1","0","0","","","2600","1","27","2600","2600","0","1","0","7cac4807-5dc5-4e98-a5e5-aee7aeb10dcb","09824d55-c4a9-4f7e-a2d1-5d1d2feca319",-1
"0","1069937861","1069937857","80","1","1",-1,-1,"1","0","0","","","5500","1","22","5500","5500","0","1","0","83ee65a3-7645-4898-b8e3-e64905fb2ea2","87a77227-de32-4db7-a3d6-7d03c651798c",-1
"0","1069937862","1069937857","80","1","1",-1,-1,"1","0","0","","","800","1","14","800","800","0","1","0",c1ea1ac2-0a5e-452d-b5c6-be2e2d94ea65,"708ec4a6-e9c3-45f7-bfe4-8e36dd7a2fbd",-1
"0","1069937863","1069937857","80","1","1",-1,-1,"1","0","0","","","2700","1","33","2700","2700","0","1","0","470e51e5-f23d-43ce-bb0c-2134cc9bb3af","2f1def6a-6d96-45e6-b484-82c10eceaa03",-1
"0","1069937864","1069937857","80","1","1",-1,-1,"1","0","0","","","2600","1","27","2600","2600","0","1","0",fde8a5a3-8b65-46c7-b6f2-7f0f7341ac37,"7c0874ef-0b2c-4225-a1cf-73a6d0f40144",-1
"0","1101230271","1101230269","80","1","1",-1,-1,"1","0","0","","","1700","1","43","1700","1700","0","1","0",fb85e40d-8669-48ac-9f36-01120c85d4e5,"724435f9-7f35-4df6-96f2-d947852f2873",-1
"0","1101258913","1101230269","80","1","1",-1,-1,"1","0","0","","","800","1","14","800","800","0","1","0",a6c0dc24-24cf-42c0-bf73-8c739ac8a086,"0bd16335-9510-47d0-ae30-3e6550eb8819",-1
"0","1233630285","1233630282","1270","1","1",-1,-1,"1","0","0","","","900","1","14","900","900","0","1","0",ec6c7aa4-40e4-4d14-94cb-04abd3c4856f,"61e2061b-04ec-4c10-b32e-d42d20bb60ec",-1
"0","1233630287","1233630282","1270","1","1",-1,-1,"1","0","0","","","2700","1","27","2700","2700","0","1","0",d9b51023-cc7c-495c-9c43-b7a348590de2,"33ffd327-4688-4f9c-b872-ad16f5b86201",-1
"0","1233630290","1233630282","1270","1","1",-1,-1,"1","0","0","","","4600","1","56","4600","4600","0","1","0",f704039e-5ed0-4ae7-80e3-e3ec6faaf28f,"2e4405ce-d58b-4ea3-b031-5ef9a789c8e0",-1
"0","1233653862","1233630282","1270","1","1",-1,-1,"1","0","0","","","2400","1","34","2400","2400","0","1","0","0aac1201-7e68-4467-b3fc-00ac7fff264c","511f7fae-6ba6-42e3-94e1-5a40856e0de8",-1
"0","1240030513","1240030511","1284","1","1",-1,-1,"1","0","0","","","2900","1","37","2900","2900","0","1","0",b254813f-0938-4caf-ac99-846f9111378e,ba31685b-ba6a-4409-810d-0ba19fe0b43c,-1
"0","1242042368","1242033123","1270","1","1",-1,-1,"1","0","0","","","900","1","14","900","900","0","1","0",d805057c-ec56-472d-b5fa-6c362d56ca19,b3b4648e-87f8-4a50-85b9-5902c4740831,-1
"0","1242042370","1242033123","1270","1","1",-1,-1,"1","0","0","","","2400","1","34","2400","2400","0","1","0","1590961d-6b5e-45f1-a138-3a1ba43ae2d7","4e8b61a4-3178-46cf-997a-1ca74488256a",-1
"0","1242042384","1242033123","1270","1","1",-1,-1,"1","0","0","","","2700","1","27","2700","2700","0","1","0",b1a6d3a1-98ff-45ef-90f1-88660a0815f2,ed10f7cd-a356-4d70-afbf-58bb8e3d9fe3,-1
"0","1246931398","1246931396","1284","1","1",-1,-1,"1","0","0","","","2900","1","37","2900","2900","0","1","0","1edd0735-8ad8-4b50-9adb-8e4720b65c14","8f2c0ed4-762d-483f-8842-114ac691182c",-1
"0","1250443780","1250430152","1270","1","1",-1,-1,"1","0","0","","","900","1","14","900","900","0","1","0",a81fe8c6-032f-413e-934a-bc947dfcb6bc,"10ea8714-81d4-4a38-9fc4-b6ec5ba4e518",-1
"0","1250443782","1250430152","1270","1","1",-1,-1,"1","0","0","","","2700","1","27","2700","2700","0","1","0","68ea809b-e19b-4a8a-a33c-a37a4c221b9b","0748632b-bf63-4435-b1ae-851a05fedf4a",-1
"0","1250443787","1250430152","1270","1","1",-1,-1,"1","0","0","","","6800","1","23","6800","6800","0","1","0",ac64be01-346b-4098-9224-11cea70ef900,"8c8ce208-fe22-4e36-92b8-5cb6e1fb80f3",-1
"0","1250443789","1250430152","1270","1","1",-1,-1,-1,"0","0","","","1000","1","1","3000","1000","0","1","0",a6b36872-0794-4ab7-bc03-af4232601eb2,"99a6dd17-6407-4244-81a6-1963cf8c8dc5",-1
"0","1250443799","1250430152","1270","1","1",-1,-1,"1","0","0","","","2400","1","34","2400","2400","0","1","0","47024ed9-562d-4a4e-9b79-0033cb2dab41",f8a8ad2a-84b3-4081-8287-b5407241a5a2,-1
"0","1250443807","1250430152","1270","1","1",-1,-1,"2","0","0","","","5556","1","788","6000","6000","0","2","0","9e5ef88b-8f10-4b91-b904-998bbaf7e1f1",b00251e0-dbab-4d8d-877a-09f5c88c8c57,-1
"0","1255330752","1255330750","1284","1","1",-1,-1,"1","0","0","","","2900","1","37","2900","2900","0","1","0","3589ac93-b535-438c-9b2d-3882fac6bb8c",a428d5ad-31be-40b9-929b-df7fb3e48074,-1
"0","1270730412","1270730401","1270","1","1",-1,-1,"1","0","0","","","900","1","14","900","900","0","1","0","04e79177-1c78-4dfe-a514-b2fd93d9db76",dd80aff0-c599-43b5-bda9-9d5458c43988,-1
"0","1270730414","1270730401","1270","1","1",-1,-1,"1","0","0","","","6800","1","23","6800","6800","0","1","0",b0ce22b0-35ab-4911-8f4e-ab41b1fe3cbb,"44a712b5-5ad5-41aa-9a40-8fc1ccdfedb7",-1
"0","1270730415","1270730401","1270","1","1",-1,-1,-1,"0","0","","","1000","1","1","3000","1000","0","1","0",c54de619-df89-49ea-9850-da69b1970796,"1ec3ecf1-e2f0-4649-a70c-886027c98823",-1
"0","1270730416","1270730401","1270","1","1",-1,-1,"1","0","0","","","2400","1","34","2400","2400","0","1","0",a90b5820-fb91-48c3-bb35-38d8a3789744,c7e14600-766d-451c-8ecc-ce32f0a91633,-1
"0","1270730420","1270730401","1270","1","1",-1,-1,"1","0","0","","","2500","1","56","4600","2500","0","1","0","2663ca0a-8088-4eba-8895-24b49e97a584","62d1a7db-ca1f-4368-a3cb-28be27297cac",-1
"0","1270739808","1270730401","1270","1","1",-1,-1,"1","0","0","","","1700","1","7","1700","1700","0","1","0","06c8d78b-cfa5-40af-be65-eb026d11a606","0e71ff11-053c-4aac-9a0a-248c9dcbaffc",-1
"0","1270739815","1270730401","1270","1","1",-1,-1,"2","0","0","","","6389","1","788","6900","6900","0","2","0","9c811524-8ea8-44e8-9b6e-2f77e56e402e",abb6e47d-ea4e-4c87-800c-9a33f3fa7d58,-1
